City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,19.42,79,32,0.0,GL,1731290871
1,lihue,21.9789,-159.3672,78.39,85,100,13.8,US,1731290836
2,new norfolk,-42.7826,147.0587,67.71,18,2,3.29,AU,1731290873
3,kodiak,57.79,-152.4072,38.71,81,75,10.36,US,1731290875
4,olonkinbyen,70.9221,-8.7187,33.89,92,100,20.24,SJ,1731290876
5,xianyang,34.3378,108.7026,59.16,88,100,2.24,CN,1731290779
6,codrington,-38.2667,141.9667,65.17,53,40,15.88,AU,1731290878
7,cheongsong gun,36.4335,129.057,60.24,66,3,3.8,KR,1731290879
8,tvoroyri,61.5556,-6.8111,47.97,82,64,32.97,FO,1731290881
9,waitangi,-43.9535,-176.5597,60.82,87,97,8.99,NZ,1731290882
10,tura,25.5198,90.2201,73.47,74,0,1.77,IN,1731290883
11,mugia,43.1041,-9.2179,59.92,92,65,9.15,ES,1731290884
12,kruisfontein,-34.0033,24.7314,53.19,88,82,2.57,ZA,1731290885
13,papatowai,-46.5619,169.4708,55.74,46,79,13.71,NZ,1731290887
14,bethel,41.3712,-73.414,55.02,73,100,3.0,US,1731290888
15,avarua,-21.2078,-159.775,77.05,69,40,10.36,CK,1731290889
16,georgetown,5.4112,100.3354,85.95,74,20,5.75,MY,1731290891
17,axim,4.8699,-2.2405,77.07,88,20,5.23,GH,1731290892
18,manta,-0.95,-80.7333,73.18,78,40,14.09,EC,1731290893
19,trapani,37.8333,12.6667,60.28,89,77,6.26,IT,1731290894
20,bahia de kino,28.8333,-111.9333,71.35,47,61,8.81,MX,1731290896
21,chibougamau,49.9168,-74.3659,35.22,93,100,3.44,CA,1731290897
22,tofol,5.3248,163.0078,76.78,88,100,14.97,FM,1731290898
23,talnakh,69.4865,88.3972,-11.51,88,52,1.86,RU,1731290900
24,kenda,23.2,86.5333,73.96,58,0,3.42,IN,1731290901
25,port elizabeth,-33.918,25.5701,58.32,95,54,3.0,ZA,1731290902
26,olinda,-8.0089,-34.8553,80.33,69,40,6.91,BR,1731290903
27,margaret river,-33.95,115.0667,64.54,57,30,8.28,AU,1731290904
28,wailua homesteads,22.0669,-159.378,77.79,86,100,13.8,US,1731290906
29,puerto deseado,-47.7503,-65.8938,54.19,47,88,20.92,AR,1731290907
30,edinburgh of the seven seas,-37.0676,-12.3116,60.57,87,93,33.91,SH,1731290908
